acc_file,gyr_file,Line_Number
J2/J2 Serve ACC/hit_2.csv,J2/J2 Serve GYR/hit_2.csv,2220
J2/J2 Dretes ACC/hit_20.csv,J2/J2 Dretes GYR/hit_20.csv,2320
J2/J2 Reves ACC/hit_1.csv,J2/J2 Reves GYR/hit_1.csv,2420
J2/J2 Dretes ACC/hit_33.csv,J2/J2 Dretes GYR/hit_33.csv,2520
J2/J2 VR ACC/hit_3.csv,J2/J2 VR GYR/hit_3.csv,2640
J2/J2 Serve ACC/hit_6.csv,J2/J2 Serve GYR/hit_6.csv,2740
J2/J2 VD ACC/hit_3.csv,J2/J2 VD GYR/hit_3.csv,2840
J2/J2 Smash ACC/hit_3.csv,J2/J2 Smash GYR/hit_3.csv,2940
J2/J2 Reves ACC/hit_4.csv,J2/J2 Reves GYR/hit_4.csv,3091
J2/J2 Dretes ACC/hit_11.csv,J2/J2 Dretes GYR/hit_11.csv,3191
J2/J2 VD ACC/hit_12.csv,J2/J2 VD GYR/hit_12.csv,3291
J2/J2 Reves ACC/hit_6.csv,J2/J2 Reves GYR/hit_6.csv,3391
J2/J2 Dretes ACC/hit_8.csv,J2/J2 Dretes GYR/hit_8.csv,3491
J2/J2 Reves ACC/hit_25.csv,J2/J2 Reves GYR/hit_25.csv,3591
J2/J2 Smash ACC/hit_13.csv,J2/J2 Smash GYR/hit_13.csv,3691
J2/J2 VR ACC/hit_7.csv,J2/J2 VR GYR/hit_7.csv,3841
J2/J2 VD ACC/hit_9.csv,J2/J2 VD GYR/hit_9.csv,3941
J2/J2 Reves ACC/hit_13.csv,J2/J2 Reves GYR/hit_13.csv,4041
J2/J2 Dretes ACC/hit_27.csv,J2/J2 Dretes GYR/hit_27.csv,4141
J2/J2 Dretes ACC/hit_35.csv,J2/J2 Dretes GYR/hit_35.csv,4241
J2/J2 Dretes ACC/hit_19.csv,J2/J2 Dretes GYR/hit_19.csv,4361
J2/J2 VR ACC/hit_16.csv,J2/J2 VR GYR/hit_16.csv,4461
J2/J2 Smash ACC/hit_6.csv,J2/J2 Smash GYR/hit_6.csv,4561
J2/J2 VR ACC/hit_1.csv,J2/J2 VR GYR/hit_1.csv,4700
J2/J2 Smash ACC/hit_8.csv,J2/J2 Smash GYR/hit_8.csv,4800
J2/J2 Smash ACC/hit_4.csv,J2/J2 Smash GYR/hit_4.csv,4937
J2/J2 Dretes ACC/hit_28.csv,J2/J2 Dretes GYR/hit_28.csv,5057
J2/J2 Reves ACC/hit_7.csv,J2/J2 Reves GYR/hit_7.csv,5157
J2/J2 Dretes ACC/hit_3.csv,J2/J2 Dretes GYR/hit_3.csv,5257
J2/J2 Serve ACC/hit_3.csv,J2/J2 Serve GYR/hit_3.csv,5357
J2/J2 VR ACC/hit_2.csv,J2/J2 VR GYR/hit_2.csv,5457
J2/J2 Serve ACC/hit_8.csv,J2/J2 Serve GYR/hit_8.csv,5557
J2/J2 Dretes ACC/hit_17.csv,J2/J2 Dretes GYR/hit_17.csv,5657
J2/J2 VR ACC/hit_5.csv,J2/J2 VR GYR/hit_5.csv,5757
J2/J2 VR ACC/hit_8.csv,J2/J2 VR GYR/hit_8.csv,5857
J2/J2 Smash ACC/hit_9.csv,J2/J2 Smash GYR/hit_9.csv,5957
J2/J2 VR ACC/hit_6.csv,J2/J2 VR GYR/hit_6.csv,6084
J2/J2 VD ACC/hit_6.csv,J2/J2 VD GYR/hit_6.csv,6184
J2/J2 Smash ACC/hit_5.csv,J2/J2 Smash GYR/hit_5.csv,6284
J2/J2 Reves ACC/hit_30.csv,J2/J2 Reves GYR/hit_30.csv,6415
J2/J2 Reves ACC/hit_21.csv,J2/J2 Reves GYR/hit_21.csv,6515
J2/J2 Reves ACC/hit_28.csv,J2/J2 Reves GYR/hit_28.csv,6615
J2/J2 Reves ACC/hit_29.csv,J2/J2 Reves GYR/hit_29.csv,6715
J2/J2 Reves ACC/hit_23.csv,J2/J2 Reves GYR/hit_23.csv,6815
J2/J2 Serve ACC/hit_7.csv,J2/J2 Serve GYR/hit_7.csv,6915
J2/J2 Smash ACC/hit_7.csv,J2/J2 Smash GYR/hit_7.csv,7015
J2/J2 Dretes ACC/hit_22.csv,J2/J2 Dretes GYR/hit_22.csv,7154
J2/J2 VR ACC/hit_18.csv,J2/J2 VR GYR/hit_18.csv,7254
J2/J2 VR ACC/hit_4.csv,J2/J2 VR GYR/hit_4.csv,7354
J2/J2 Dretes ACC/hit_25.csv,J2/J2 Dretes GYR/hit_25.csv,7454
J2/J2 VR ACC/hit_0.csv,J2/J2 VR GYR/hit_0.csv,7554
J2/J2 Dretes ACC/hit_29.csv,J2/J2 Dretes GYR/hit_29.csv,7654
J2/J2 VR ACC/hit_11.csv,J2/J2 VR GYR/hit_11.csv,7754
J2/J2 VD ACC/hit_15.csv,J2/J2 VD GYR/hit_15.csv,7854
J2/J2 Dretes ACC/hit_32.csv,J2/J2 Dretes GYR/hit_32.csv,7954
J2/J2 Reves ACC/hit_0.csv,J2/J2 Reves GYR/hit_0.csv,8074
J2/J2 Dretes ACC/hit_16.csv,J2/J2 Dretes GYR/hit_16.csv,8174
J2/J2 Reves ACC/hit_5.csv,J2/J2 Reves GYR/hit_5.csv,8274
J2/J2 Reves ACC/hit_8.csv,J2/J2 Reves GYR/hit_8.csv,8374
J2/J2 Dretes ACC/hit_21.csv,J2/J2 Dretes GYR/hit_21.csv,8474
J2/J2 Dretes ACC/hit_38.csv,J2/J2 Dretes GYR/hit_38.csv,8574
J2/J2 Serve ACC/hit_12.csv,J2/J2 Serve GYR/hit_12.csv,8694
J2/J2 VD ACC/hit_1.csv,J2/J2 VD GYR/hit_1.csv,8794
J2/J2 VD ACC/hit_2.csv,J2/J2 VD GYR/hit_2.csv,8894
J2/J2 Reves ACC/hit_14.csv,J2/J2 Reves GYR/hit_14.csv,8994
J2/J2 Reves ACC/hit_10.csv,J2/J2 Reves GYR/hit_10.csv,9094
J2/J2 VD ACC/hit_5.csv,J2/J2 VD GYR/hit_5.csv,9194
J2/J2 Reves ACC/hit_9.csv,J2/J2 Reves GYR/hit_9.csv,9294
J2/J2 Dretes ACC/hit_5.csv,J2/J2 Dretes GYR/hit_5.csv,9394
J2/J2 Reves ACC/hit_11.csv,J2/J2 Reves GYR/hit_11.csv,9494
J2/J2 Dretes ACC/hit_10.csv,J2/J2 Dretes GYR/hit_10.csv,9594
J2/J2 Serve ACC/hit_9.csv,J2/J2 Serve GYR/hit_9.csv,9694
J2/J2 Reves ACC/hit_18.csv,J2/J2 Reves GYR/hit_18.csv,9794
J2/J2 Dretes ACC/hit_37.csv,J2/J2 Dretes GYR/hit_37.csv,9894
J2/J2 Dretes ACC/hit_24.csv,J2/J2 Dretes GYR/hit_24.csv,10014
J2/J2 VR ACC/hit_13.csv,J2/J2 VR GYR/hit_13.csv,10114
J2/J2 Dretes ACC/hit_2.csv,J2/J2 Dretes GYR/hit_2.csv,10214
J2/J2 Dretes ACC/hit_9.csv,J2/J2 Dretes GYR/hit_9.csv,10314
END,END,10414
