acc_file,gyr_file,Line_Number
J5/J5 Smash ACC/hit_12.csv,J5/J5 Smash GYR/hit_12.csv,10884
J5/J5 VR ACC/hit_16.csv,J5/J5 VR GYR/hit_16.csv,11084
J5/J5 Dretes ACC/hit_1.csv,J5/J5 Dretes GYR/hit_1.csv,11244
J5/J5 Reves ACC/hit_27.csv,J5/J5 Reves GYR/hit_27.csv,11444
J5/J5 Reves ACC/hit_23.csv,J5/J5 Reves GYR/hit_23.csv,11644
J5/J5 Smash ACC/hit_11.csv,J5/J5 Smash GYR/hit_11.csv,11844
J5/J5 Dretes ACC/hit_20.csv,J5/J5 Dretes GYR/hit_20.csv,12044
J5/J5 Serve ACC/hit_7.csv,J5/J5 Serve GYR/hit_7.csv,12244
J5/J5 Serve ACC/hit_8.csv,J5/J5 Serve GYR/hit_8.csv,12444
J5/J5 VR ACC/hit_5.csv,J5/J5 VR GYR/hit_5.csv,12644
J5/J5 Smash ACC/hit_3.csv,J5/J5 Smash GYR/hit_3.csv,12844
J5/J5 VR ACC/hit_14.csv,J5/J5 VR GYR/hit_14.csv,13044
J5/J5 Smash ACC/hit_8.csv,J5/J5 Smash GYR/hit_8.csv,13204
J5/J5 Dretes ACC/hit_24.csv,J5/J5 Dretes GYR/hit_24.csv,13404
J5/J5 Serve ACC/hit_1.csv,J5/J5 Serve GYR/hit_1.csv,13604
J5/J5 Serve ACC/hit_10.csv,J5/J5 Serve GYR/hit_10.csv,13804
J5/J5 Reves ACC/hit_11.csv,J5/J5 Reves GYR/hit_11.csv,14004
J5/J5 VD ACC/hit_10.csv,J5/J5 VD GYR/hit_10.csv,14204
J5/J5 Reves ACC/hit_7.csv,J5/J5 Reves GYR/hit_7.csv,14364
J5/J5 Reves ACC/hit_18.csv,J5/J5 Reves GYR/hit_18.csv,14564
J5/J5 Dretes ACC/hit_7.csv,J5/J5 Dretes GYR/hit_7.csv,14764
J5/J5 VD ACC/hit_8.csv,J5/J5 VD GYR/hit_8.csv,14964
J5/J5 VD ACC/hit_2.csv,J5/J5 VD GYR/hit_2.csv,15124
J5/J5 Reves ACC/hit_12.csv,J5/J5 Reves GYR/hit_12.csv,15284
J5/J5 Dretes ACC/hit_28.csv,J5/J5 Dretes GYR/hit_28.csv,15484
J5/J5 VD ACC/hit_1.csv,J5/J5 VD GYR/hit_1.csv,15684
J5/J5 Dretes ACC/hit_27.csv,J5/J5 Dretes GYR/hit_27.csv,15844
J5/J5 VR ACC/hit_4.csv,J5/J5 VR GYR/hit_4.csv,16044
J5/J5 VD ACC/hit_12.csv,J5/J5 VD GYR/hit_12.csv,16244
J5/J5 VD ACC/hit_14.csv,J5/J5 VD GYR/hit_14.csv,16404
J5/J5 Serve ACC/hit_0.csv,J5/J5 Serve GYR/hit_0.csv,16564
J5/J5 VR ACC/hit_17.csv,J5/J5 VR GYR/hit_17.csv,16764
J5/J5 Reves ACC/hit_24.csv,J5/J5 Reves GYR/hit_24.csv,16924
J5/J5 VR ACC/hit_6.csv,J5/J5 VR GYR/hit_6.csv,17124
J5/J5 Reves ACC/hit_5.csv,J5/J5 Reves GYR/hit_5.csv,17324
J5/J5 VR ACC/hit_0.csv,J5/J5 VR GYR/hit_0.csv,17524
J5/J5 Reves ACC/hit_14.csv,J5/J5 Reves GYR/hit_14.csv,17724
J5/J5 Smash ACC/hit_1.csv,J5/J5 Smash GYR/hit_1.csv,17924
J5/J5 VD ACC/hit_3.csv,J5/J5 VD GYR/hit_3.csv,18124
J5/J5 Smash ACC/hit_0.csv,J5/J5 Smash GYR/hit_0.csv,18284
J5/J5 Serve ACC/hit_13.csv,J5/J5 Serve GYR/hit_13.csv,18484
J5/J5 Smash ACC/hit_13.csv,J5/J5 Smash GYR/hit_13.csv,18684
J5/J5 Dretes ACC/hit_10.csv,J5/J5 Dretes GYR/hit_10.csv,18884
END,END,19084
