acc_file,gyr_file,Line_Number
J6/J6 Dretes ACC/hit_17.csv,J6/J6 Dretes GYR/hit_17.csv,16446
J6/J6 Dretes ACC/hit_25.csv,J6/J6 Dretes GYR/hit_25.csv,16646
J6/J6 Dretes ACC/hit_13.csv,J6/J6 Dretes GYR/hit_13.csv,16846
J6/J6 VD ACC/hit_6.csv,J6/J6 VD GYR/hit_6.csv,17046
J6/J6 Serve ACC/hit_6.csv,J6/J6 Serve GYR/hit_6.csv,17206
J6/J6 Smash ACC/hit_13.csv,J6/J6 Smash GYR/hit_13.csv,17406
J6/J6 VD ACC/hit_12.csv,J6/J6 VD GYR/hit_12.csv,17606
J6/J6 Dretes ACC/hit_2.csv,J6/J6 Dretes GYR/hit_2.csv,17766
J6/J6 Serve ACC/hit_0.csv,J6/J6 Serve GYR/hit_0.csv,17966
J6/J6 Reves ACC/hit_13.csv,J6/J6 Reves GYR/hit_13.csv,18166
J6/J6 VR ACC/hit_7.csv,J6/J6 VR GYR/hit_7.csv,18366
J6/J6 Dretes ACC/hit_26.csv,J6/J6 Dretes GYR/hit_26.csv,18526
END,END,18726
