acc_file,gyr_file,Line_Number
J1/J1 Reves ACC/hit_9.csv,J1/J1 Reves GYR/hit_9.csv,6217
J1/J1 Reves ACC/hit_14.csv,J1/J1 Reves GYR/hit_14.csv,6297
J1/J1 Dretes ACC/hit_20.csv,J1/J1 Dretes GYR/hit_20.csv,6377
J1/J1 VR ACC/hit_2.csv,J1/J1 VR GYR/hit_2.csv,6457
J1/J1 VR ACC/hit_3.csv,J1/J1 VR GYR/hit_3.csv,6577
J1/J1 Serve ACC/hit_6.csv,J1/J1 Serve GYR/hit_6.csv,6697
J1/J1 Dretes ACC/hit_19.csv,J1/J1 Dretes GYR/hit_19.csv,6797
J1/J1 Reves ACC/hit_25.csv,J1/J1 Reves GYR/hit_25.csv,6877
J1/J1 VD ACC/hit_13.csv,J1/J1 VD GYR/hit_13.csv,6957
J1/J1 Smash ACC/hit_17.csv,J1/J1 Smash GYR/hit_17.csv,7077
J1/J1 Dretes ACC/hit_25.csv,J1/J1 Dretes GYR/hit_25.csv,7157
J1/J1 VD ACC/hit_8.csv,J1/J1 VD GYR/hit_8.csv,7237
J1/J1 Dretes ACC/hit_24.csv,J1/J1 Dretes GYR/hit_24.csv,7357
J1/J1 Reves ACC/hit_18.csv,J1/J1 Reves GYR/hit_18.csv,7437
J1/J1 VD ACC/hit_11.csv,J1/J1 VD GYR/hit_11.csv,7517
J1/J1 Dretes ACC/hit_11.csv,J1/J1 Dretes GYR/hit_11.csv,7637
J1/J1 Reves ACC/hit_22.csv,J1/J1 Reves GYR/hit_22.csv,7717
J1/J1 Reves ACC/hit_7.csv,J1/J1 Reves GYR/hit_7.csv,7797
J1/J1 VD ACC/hit_6.csv,J1/J1 VD GYR/hit_6.csv,7877
J1/J1 Serve ACC/hit_13.csv,J1/J1 Serve GYR/hit_13.csv,7997
J1/J1 Reves ACC/hit_1.csv,J1/J1 Reves GYR/hit_1.csv,8097
J1/J1 Smash ACC/hit_15.csv,J1/J1 Smash GYR/hit_15.csv,8177
J1/J1 Dretes ACC/hit_5.csv,J1/J1 Dretes GYR/hit_5.csv,8257
J1/J1 Smash ACC/hit_13.csv,J1/J1 Smash GYR/hit_13.csv,8337
J1/J1 VD ACC/hit_16.csv,J1/J1 VD GYR/hit_16.csv,8516
J1/J1 Reves ACC/hit_12.csv,J1/J1 Reves GYR/hit_12.csv,8636
J1/J1 Dretes ACC/hit_8.csv,J1/J1 Dretes GYR/hit_8.csv,8716
J1/J1 Reves ACC/hit_2.csv,J1/J1 Reves GYR/hit_2.csv,8796
J1/J1 VD ACC/hit_9.csv,J1/J1 VD GYR/hit_9.csv,8876
J1/J1 Smash ACC/hit_14.csv,J1/J1 Smash GYR/hit_14.csv,8996
J1/J1 VR ACC/hit_6.csv,J1/J1 VR GYR/hit_6.csv,9123
J1/J1 VD ACC/hit_7.csv,J1/J1 VD GYR/hit_7.csv,9243
J1/J1 VD ACC/hit_18.csv,J1/J1 VD GYR/hit_18.csv,9363
J1/J1 Dretes ACC/hit_9.csv,J1/J1 Dretes GYR/hit_9.csv,9483
J1/J1 VD ACC/hit_2.csv,J1/J1 VD GYR/hit_2.csv,9563
J1/J1 VR ACC/hit_10.csv,J1/J1 VR GYR/hit_10.csv,9683
J1/J1 Reves ACC/hit_16.csv,J1/J1 Reves GYR/hit_16.csv,9803
J1/J1 Reves ACC/hit_11.csv,J1/J1 Reves GYR/hit_11.csv,9883
J1/J1 Reves ACC/hit_3.csv,J1/J1 Reves GYR/hit_3.csv,9963
J1/J1 Reves ACC/hit_6.csv,J1/J1 Reves GYR/hit_6.csv,10043
J1/J1 VD ACC/hit_12.csv,J1/J1 VD GYR/hit_12.csv,10123
J1/J1 Serve ACC/hit_11.csv,J1/J1 Serve GYR/hit_11.csv,10243
J1/J1 Serve ACC/hit_4.csv,J1/J1 Serve GYR/hit_4.csv,10343
J1/J1 Smash ACC/hit_2.csv,J1/J1 Smash GYR/hit_2.csv,10443
END,END,10643
